AAPL,FALSE
MSFT,TRUE
AMZN,FALSE
GOOG,TRUE
GOOGL,TRUE
AMAG,#N/A
FB,TRUE
BABA,TRUE
USV,#N/A
TSLA,FALSE
BRK.A,TRUE
BRK.B,TRUE
V,FALSE
TSM,FALSE
VALE,FALSE
WMT,FALSE
JNJ,FALSE
JPM,TRUE
AMJ,#N/A
PBR,#N/A
PBR.A,#N/A
PG,FALSE
SPY,#N/A
MA,FALSE
NVDA,FALSE
UNH,FALSE
DIS,#N/A
ITUB,FALSE
HD,FALSE
PYPL,FALSE
VZ,FALSE
TM,FALSE
ABEV,#N/A
CMCSA,TRUE
IVV,#N/A
KO,FALSE
PFE,FALSE
NVS,FALSE
ADBE,FALSE
NFLX,FALSE
BBD,FALSE
BBDO,#N/A
T,FALSE
TBB,#N/A
TBC,#N/A
MRK,FALSE
INTC,FALSE
CRM,FALSE
PEP,FALSE
ASML,FALSE
ABT,FALSE
ABBV,TRUE
CSCO,TRUE
TMO,TRUE
XOM,FALSE
ORCL,FALSE
PDD,#N/A
CVX,#N/A
NKE,FALSE
BSBR,FALSE
COST,FALSE
AVGO,FALSE
QCOM,TRUE
TMUS,FALSE
ACN,TRUE
DHR,FALSE
GMAB,#N/A
UL,FALSE
VTI,#N/A
MCD,FALSE
LLY,FALSE
MDT,FALSE
HON,FALSE
BBL,FALSE
BHP,FALSE
SAP,TRUE
TXN,TRUE
RDS.A,#N/A
RDS.B,#N/A
QQQ,#N/A
NEE,FALSE
AZN,FALSE
LFC,TRUE
BMY,#N/A
UNP,TRUE
AMGN,FALSE
PM,FALSE
LIN,#N/A
CHTR,FALSE
JD,TRUE
BA,#N/A
SHOP,FALSE
NVO,FALSE
RIO,FALSE
C,FALSE
HDB,TRUE
SBUX,FALSE
UPS,FALSE
SNY,FALSE
WFC,FALSE
TOT,#N/A
SNE,FALSE
RY,FALSE
BUD,#N/A
CHL,FALSE
LOW,FALSE
MS,TRUE
MLPY,#N/A
ZM,#N/A
IBM,TRUE
RTX,#N/A
PTR,TRUE
AMD,FALSE
HSBC,#N/A
BLK,TRUE
NOW,FALSE
TD,FALSE
LMT,TRUE
MMM,FALSE
SNOW,#N/A
LOMA,#N/A
SE,#N/A
GE,FALSE
SQ,FALSE
AMT,FALSE
CAT,TRUE
AXP,TRUE
INTU,FALSE
GSK,FALSE
CVS,TRUE
DEO,FALSE
SCHW,TRUE
FIS,#N/A
ISRG,FALSE
EL,FALSE
BTI,FALSE
SYK,FALSE
TGT,TRUE
ABNB,#N/A
GS,FALSE
MDLZ,FALSE
AMAT,TRUE
DE,FALSE
MELI,#N/A
MO,FALSE
VIV,FALSE
SNAP,#N/A
TJX,FALSE
CNI,FALSE
MU,TRUE
SPGI,TRUE
BEKE,#N/A
ANTM,TRUE
FISV,FALSE
BX,FALSE
GILD,FALSE
BP,#N/A
FDX,FALSE
ZTS,FALSE
CI,TRUE
ADP,FALSE
VWO,#N/A
CL,FALSE
PLD,FALSE
SNP,TRUE
LRCX,TRUE
BDX,FALSE
BDXB,#N/A
SUZ,#N/A
GLD,#N/A
AGG,#N/A
CB,FALSE
CSX,TRUE
USB,FALSE
ENB,FALSE
ENBA,#N/A
CCI,FALSE
DUK,FALSE
DUKB,#N/A
DUKH,#N/A
INFY,TRUE
NTCO,#N/A
EFA,#N/A
EFV,#N/A
SHW,FALSE
IWF,#N/A
CME,FALSE
BNS,FALSE
ATVI,FALSE
ITW,TRUE
SPOT,#N/A
SO,FALSE
SOJB,#N/A
SOJC,#N/A
SOJD,#N/A
SOJE,#N/A
TFC,TRUE
ECL,#N/A
BAM,#N/A
MRNA,#N/A
VUG,#N/A
ADSK,FALSE
EQIX,FALSE
D,FALSE
DRUA,#N/A
ICE,FALSE
NTES,FALSE
PNC,FALSE
GM,TRUE
NSC,TRUE
VMW,FALSE
EBR,#N/A
EBR.B,#N/A
APD,FALSE
CEPU,#N/A
MMC,TRUE
VRTX,FALSE
CP,FALSE
ABB,TRUE
MUFG,TRUE
TEAM,#N/A
IJH,#N/A
GPN,FALSE
NIO,#N/A
PGR,FALSE
BIDU,FALSE
EQNR,#N/A
TWLO,#N/A
VTV,#N/A
WBK,TRUE
DELL,#N/A
IWM,#N/A
HCA,TRUE
HMC,TRUE
WDAY,#N/A
EW,FALSE
ADI,FALSE
HUM,TRUE
MCO,TRUE
SAN,#N/A
REGN,FALSE
IJR,#N/A
DG,FALSE
NOC,FALSE
ILMN,FALSE
EMR,FALSE
BMLP,#N/A
BMO,TRUE
BNKD,#N/A
BNKO,#N/A
BNKU,#N/A
BNKZ,#N/A
FNGD,#N/A
FNGO,#N/A
FNGS,#N/A
FNGU,#N/A
FNGZ,#N/A
GNAF,#N/A
KNAB,#N/A
MJJ,#N/A
MJO,#N/A
NRGD,#N/A
NRGO,#N/A
NRGU,#N/A
NRGZ,#N/A
YGRN,#N/A
WM,FALSE
DD,#N/A
IBN,FALSE
BSX,TRUE
AMX,FALSE
AMOV,TRUE
PLTR,#N/A
NEM,FALSE
PHG,TRUE
EPD,FALSE
RELX,FALSE
AON,TRUE
