HDB
TAK
INFY
IBN
AAPL
WIT
MSFT
AMZN
GOOG
GOOGL
AMAG
RDY
FB
TSLA
USV
BABA
TTM
VEDL
BRK.A
BRK.B
V
TSM
JNJ
WMT
JPM
AMJ
MA
PG
SPY
UNH
DIS
NVDA
HD
PYPL
TM
ABEV
VZ
ADBE
CMCSA
NFLX
KO
IVV
NVS
PDD
MRK
PEP
T
TBB
TBC
PFE
INTC
ASML
CRM
ABT
ORCL
ABBV
CSCO
TMO
AVGO
NKE
XOM
ACN
QCOM
TMUS
CVX
LLY
GMAB
SAP
MCD
VTI
DHR
MDT
UL
QQQ
BHP
BBL
NEE
TXN
HON
UNP
BMY
LIN
SHOP
LFC
RDS.A
RDS.B
JD
AMGN
CHTR
AZN
PM
C
SNE
NVO
SBUX
WFC
RIO
MS
SNY
UPS
BUD
LOW
CHL
RY
IBM
TOT
AMD
BLK
RTX
PTR
NOW
HSBC
INTU
TD
SE
MMM
AMT
SCHW
LMT
CAT
SQ
AXP
ZM
EL
ISRG
GE
GEC
DEO
GSK
SYK
GS
CVS
VALE
TGT
ABNB
FIS
BTI
DE
MU
MDLZ
MELI
TJX
ANTM
SUZ
SNOW
SPGI
AMAT
ZTS
CNI
BX
CHEP
NIO
FISV
MO
ADP
VWO
CI
SNAP
BIDU
PLD
CL
GILD
BDX
BDXB
BEKE
NTCO
PBR
PBR.A
ATVI
GLD
USB
AGG
CB
CSX
BP
SNP
FDX
CCI
LRCX
IWF
DUK
DUKB
DUKH
ADSK
SHW
NTES
EFA
EFV
BNS
CME
SO
SOJB
SOJC
SOJD
SOJE
ICE
TFC
ENB
ENBA
ITW
GPN
VUG
EQIX
PNC
BAM
ECL
VRTX
D
ABB
APD
NSC
MUFG
GM
CP
MMC
IJH
VMW
SPOT
TEAM
PGR
WDAY
EBR
EBR.B
EW
ITUB
HCA
IWM
VTV
DELL
WBK
ADI
MCO
CEPU
TWLO
HUM
ILMN
EQNR
SAN
DD
IJR
REGN
DG
BSX
HMC
NOC
SCCO
WM
PHG
AMX
AMOV
BMLP
BMO
BNKD
BNKU
FNGD
FNGO
FNGS
FNGU
FNGZ
GNAF
MJJ
MJO
NRGD
NRGU
MNST
PUK
AON
NEM
EMR
ETN
RELX
CRWD
VIG
KMB
LVS
LULU
COF
ROP
KDP
NXPI
PTON
VOD
CTSH
ROST
RACE
TWTR
MAR
EPD
COP
GD
IDXX
KHC
STZ.B
STZ
MET
SMFG
ROKU
ALGN
IWD
EA
NGG
U
DOCU
MRNA
AEP
AEPPL
AEPPZ
EXC
DOW
CVNA
PLTR
BAX
CEO
PINS
GOLD
TRI
PSA
MTCH
KLAC
RKT
TEL
SIM
LHX
SNPS
APH
DLR
CMG
BCE
TRP
CM
CDNS
SYY
FCX
LQD
BIIB
TTD
BK
XLK
E
CTAS
CHWY
BF.B
BF.A
MSCI
ING
SRE
ERIC
QSR
CSGP
A
MCHP
GIS
INFO
VGT
TRV
DXCM
APTV
PH
XEL
TT
NTR
PANW
CNC
LYG
ATMP
BAL
BCM
BCS
CAPE
COW
DFVL
DFVS
DJP
GAZ
GBUG
GRN
GSP
IMLP
JJA
JJC
JJE
JJG
JJM
JJN
JJP
JJS
JJT
JJU
JO
LD
NIB
OIL
PGM
RODI
SBUG
SGG
VXX
XVZ
EBAY
EBAYL
GDS
KKR
LU
MFC
WBA
IQV
F
TROW
ALXN
PPG
VO
RNG
XPEV
STM
VRSK
JCI
TDG
CMI
PAYX
ALL
VFC
CRH
BBVA
OKTA
ORLY
YUM
CARR
BSBR
EEM
AIG
MFG
TME
IAU
ZBH
VB
MRVL
HPQ
EDU
SGEN
ORAN
RPRX
SBAC
CS
ANSS
AFL
KMI
PFH
PRS
PRU
HLT
RMD
RSG
LYB
Z
ZG
PSX
BLL
FNV
SLB
CPRT
DDOG
CHT
PCAR
ITOT
BILI
ES
PEG
ALC
OTIS
ROK
EOG
WEC
TDOC
CTVA
MSI
SWK
TAL
CNQ
LBRDA
LBRDK
ADM
FAST
SPG
MCK
AME
AWK
DFS
NWG
LUV
GLW
SPLK
WLTW
MTD
SIRI
AZO
WELL
WCN
MPC
ZS
EC
PAYC
IWB
IBKR
SLF
STNE
CAJ
LI
BBY
FWONA
FWONK
LSXMK
STT
DAL
SU
FRC
MKC
MKC.V
CLX
TU
DLTR
SWKS
XLF
HRL
DHI
WY
DIA
RYAAY
PCG
ED
VRSN
IWR
IWC
FMS
KEYS
YNDX
COUP
FMX
WORK
WMB
ZTO
KR
FTS
FTNT
CERN
ARE
YUMC
TTWO
FTV
AJG
EIX
MXIM
RCI
DTB
DTE
DTJ
DTW
DTY
BGNE
EFX
MT
MTCN
NET
BBD
BBDO
LEN
LEN.B
TLK
PTI
VLO
VIAC
VIACA
AMP
ODFL
GRMN
CCL
CUK
FLT
FCAU
MPLX
DB
CCEP
HSY
W
CHA
ETSY
AVB
IGSB
XP
ENPH
TIP
NOK
EQR
ANET
GWW
MDY
O
NDAQ
PKX
FTCH
PPL
CHD
MKTX
MDB
APO
BKR
TEF
K
XLV
MGA
ATUS
EXAS
CBRE
WST
UMC
ICL
BIP
ZBRA
IX
SYF
SIVB
SIVBP
EPAM
TCOM
ETR
ABC
TER
LH
VMC
SDY
SHY
FITB
FITBI
FITBO
FITBP
BNTX
IP
PFF
NTRSO
NTRS
WMG
AEE
VV
ROL
TFX
INCY
VIPS
IR
XLY
TSN
QRVO
TLT
TRU
CDW
ZI
WPM
EXPE
PXD
HOLX
PAGS
HYG
CHKP
SSNC
AMCR
VTR
XYL
SNN
DKNG
DOV
HUBS
GIB
CCC
COO
SKM
NICE
CAG
BR
MLM
NVCR
TYL
HGH
HIG
UI
CMS
CMSA
CMSC
CMSD
IVE
BIO
BIO.B
CHU
CNHI
FOX
FOXA
BURL
NMR
CTLT
AEM
AKAM
CQP
OKE
DISH
PODD
WDC
RCL
URI
HEI
HEI.A
HAL
TRMB
ZEN
ET
INVH
FE
PBA
MPWR
KB
LOGI
TSCO
SEDG
EWJ
MTB
AVTR
PEAK
HES
ULTA
STE
IAC
HZNP
OXY
EXPD
PKI
DGX
NUE
KEY
CTXS
VAR
STX
TIF
LYV
BMRN
GDRX
KEP
CDAY
CAH
ALB
AES
LYFT
MGM
DRI
RF
ESS
CZR
KMX
WAT
KL
HPE
SHG
CFG
TXG
CE
NVR
VBR
LNG
AFK
BIZD
BJK
BRF
CBON
EGPT
EMAG
EVX
FLTR
GDX
GDXJ
GLCN
GLIN
HAP
IDX
MLN
MOO
MORT
NLR
RSX
RSXJ
SLX
SMB
SMOG
VNM
XMPT
DPZ
VIV
ALNY
IEX
BEP
PLUG
EXR
LDOS
POOL
SUI
FMC
VGK
FICO
DRE
IEF
NTAP
MASI
OSH
SLV
BXP
ABMD
CPB
ACGL
ACGLO
ACGLP
DVY
HTHT
XLP
MAA
GPC
ELAN
ELAT
TDY
JBHT
CVAC
MAS
IT
GNRC
MKL
TW
GRFS
J
AGR
CINF
CGNX
GDDY
IMO
PTC
AVLR
WAB
WIX
BKI
LBTYA
LBTYB
LBTYK
RUN
IQ
VICI
PFG
EMN
DISCA
DISCB
DISCK
CCK
BPY
BPYPN
BPYPO
BPYPP
BRO
ON
SRPT
CABO
PENN
OMC
ALLY
AI
WPP
SJM
JHX
DVA
RJF
PKG
VBK
BAP
IWO
ENTG
AVY
HBAN
HBANN
HBANO
GH
LNT
HAS
ESTC
CHRW
ASX
UAL
FDS
MOH
BEN
EVRG
NUAN
ENIA
AQN
AQNA
AQNB
CRL
OTEX
WPC
HWM
L
JKHY
ZNH
GSX
NLOK
TECH
DT
XLI
SAM
WYNN
IWV
ARES
GGG
IWS
GFL
QGEN
ATO
BAH
MYOK
PPD
IPGP
ZLAB
FBHS
IHG
ATHM
WRB
NLY
RPM
CNP
IEP
CGC
CREE
MPW
NDSN
IFF
CHGG
WTRG
UHS
PHM
ELS
LW
SBSW
FIVN
FNF
VHT
ARGX
CXO
WRK
XRAY
EQH
APPN
ERIE
UDR
WHR
MTN
IGIB
CG
SMG
BILL
TXT
MRTX
BSY
CRSP
XPO
FFIV
OLED
GWRE
PEGA
XLU
LKQ
ALLE
WISH
LUMN
AAP
ABCL
ZNGA
NWS
NWSA
TEVA
CNA
DNB
IUSG
LII
FSLR
BFAM
WLK
IBB
RGEN
LB
HST
BCH
ICLR
JNK
TTC
PLAN
VXF
CBOE
DNLI
MHK
BEPC
IWN
PWR
GL
MORN
FSLY
CEA
TAP
TAP.A
DLB
FIVE
ARMK
GLPI
CPT
LNC
TREX
CIB
TECK
FND
AMED
VST
LEA
HSIC
AAL
KC
MMP
AMH
BWA
TS
AU
RE
DAR
NFE
HNP
DOX
WB
SNA
KGC
JAZZ
DBX
IPG
NRG
LSPD
BG
RH
RARE
SJR
WU
FLEX
NWL
PNW
WEX
NBIX
BSAC
MBT
STOR
UHAL
RP
ATR
MLCO
PNR
AZPN
ASND
CONE
NI
ZEAL
CD
WSO
WSO.B
IAA
BBIO
MOS
ACH
Y
TPR
NYT
GLOB
DADA
HUBB
AGNCP
AGNC
AGNCM
AGNCN
AGNCO
ACAD
CHE
NTRA
IRM
SCI
SMAR
RNR
AEG
AEB
LAMR
IPHI
CSL
GNTX
ACI
SEIC
ST
MKSI
BRKR
CF
LPLA
ATH
SID
VER
OHI
EHC
IVW
OC
GFI
CIEN
AYX
ADPT
MNSO
DECK
PRAH
ALV
NCLH
IVZ
AIZ
AIZP
LEVI
EWZ
FATE
IONS
CX
ARWR
IIVI
IIVIP
RGA
RZA
RZB
PFPT
BYND
G
WSM
EV
AAXN
CMA
LAD
STLD
REG
AGCO
XLRN
CBSH
IWP
OCFT
CHDN
COLD
FANG
BL
RS
WWD
OZON
IUSV
SHC
JLL
AFG
AFGB
AFGC
AFGD
AFGE
RBA
VFH
FSV
RL
EEFT
QDEL
GPS
GGB
H
ACM
BERY
BTG
KOD
NLSN
MRVI
VOYA
AOS
CVE
JNPR
DOOO
NVTA
BHC
CAE
USFD
ARW
ALLK
UGI
UA
UAA
PAAS
SBNY
BBU
EWBC
MIDD
LITE
VNO
ARCC
AFC
ZION
ZIONO
ZIONL
ZIONP
ZIONN
RHI
NNN
SEE
KNX
NVAX
LINX
TGTX
MCFE
SYNH
FHN
DCI
RDFN
SITE
RGLD
CALT
SPYG
LMND
LECO
PSO
HII
GRUB
FVRR
IRTC
QTWO
IOVA
TWST
SC
TIMB
LHCG
TMX
AXTA
PLNT
NCNO
MANH
PVH
OEF
POST
ITT
CASY
BLDP
ANGI
WF
XLE
CUBE
DXC
HRC
KIM
COG
YY
OMF
FRT
GMED
ALK
NTNX
PB
REXR
ADT
XBI
OGE
JBL
PFGC
PEN
SRCL
CPRI
HLF
CDK
REYN
CACI
JEF
PAC
CYBR
BPMC
LSCC
EXEL
TTEK
EWY
LFUS
FUTU
APPF
PSTG
SFIX
CWEN
CWEN.A
PRF
AN
VRT
TFII
CACC
PRGO
BLD
MAT
DVN
WAL
WALA
TRGP
LPL
FOUR
PSXP
HAE
HTA
FOLD
CLGX
PHI
PAA
ORI
NEO
BC
SMIN
YETI
NVRO
CLR
AMWL
TNDM
SON
AZEK
VDC
CHH
AER
SQM
JHG
ACC
PII
SBS
LEG
TPTX
OSK
PE
NKLA
AAXJ
TKR
IHI
MSA
CLF
ONEM
COLM
ESLT
HALO
FRPT
NATI
FAF
BLI
WES
KT
FLIR
BWXT
FROG
AIV
TX
CHNG
DCT
SKX
TCF
TCFCP
TPL
VAC
HELE
VNT
HOG
FCNCA
FCNCP
SLAB
BZUN
TPX
HESM
SSL
SPCE
GIL
HUN
PSTH
WH
SAIC
SDGR
STWD
PBCT
PBCTP
CFR
ARRY
IART
EGP
AUY
FR
TXRH
TOL
TENB
NVST
PGX
ENIC
COTY
TNET
HQY
COR
APA
OLLI
VRM
MPLN
NOV
CCJ
EFG
WSC
MDU
INGR
MRO
GLPG
PRI
FEYE
IJT
IRDM
EVBG
SF
SFB
VRNS
MAN
LESL
LSTR
THO
EVR
FFIN
BHVN
SSB
BJ
DEI
EIDX
VERX
ALRM
HBI
OMCL
INSP
LANC
AL
UGP
ALGM
DKS
MTZ
BRKS
KMPR
EME
APPS
MDLA
RBC
ORA
MEDP
CUZ
ASR
STAG
FXI
TFSL
DSGX
MRCY
JWN
ORCC
WEN
BRX
QRTEA
QRTEB
QRTEP
POWI
NEP
NYCB
PNFP
PNFPP
VIRT
ALSN
ESNT
PACB
SOXX
PHYS
IDA
NCR
SAIL
CW
BOKF
BOKFL
NXST
FLS
ASH
FLO
BYD
SNV
HASI
PPC
PAG
LAZ
BLDR
CRUS
SPTM
BE
QLYS
PFSI
RXN
EBS
BPOP
TKC
BEAM
SAIA
JOBS
AMLP
ASAN
MSM
SWI
RLI
HUYA
SMTC
RPD
CERT
UNM
UNMA
IXN
HLI
TV
SLM
SLMBP
EXPO
AMG
MGR
MGRB
SDC
XRX
GPK
CBPO
GSHD
WPX
JBLU
SHI
KNSL
NOMD
VCR
CFX
ESGR
ESGRO
ESGRP
VNET
IMVT
KWR
CR
SAGE
ICUI
MMS
ROLL
ACIW
LPRO
ACHC
ARNA
CIG
CIG.C
RETA
AYI
JCOM
ENV
MSGS
NOVA
ASGN
VRNT
WK
EXPI
SSRM
OSB
FOXF
KBR
CCMP
GBCI
GOCO
ESI
NAV
QLD
EDIT
SRC
AGI
SPWR
LOPE
THG
CLDR
NEU
EWT
MSP
VPL
HHC
APLS
SLG
CZZ
FTDR
CEF
AA
CCXI
ALTR
PINC
VVV
TRUP
NARI
MTG
AXS
GTLS
EXP
CROX
FTI
NEOG
DAVA
FL
UPWK
VPU
THC
NEA
UBSI
CLH
SNX
ADV
IYR
HFC
GOOS
PTCT
LPSN
NOVT
JBGS
NRZ
XLB
SPR
VVNT
